target,model,season,n_games,accuracy,log_loss,mae,ats_pct
h1_total,vegas,2019,267,,,6.937699733269647,
h1_total,vegas,2020,269,,,6.665119393189734,
h1_total,vegas,2021,285,,,7.0714650016126726,
h1_total,vegas,2022,284,,,6.895673058099399,
h1_total,vegas,2023,285,,,6.448212277306966,
h1_total,vegas,2024,285,,,6.9727425355757005,
h1_total,vegas,2025,285,,,7.047756845302006,
h1_total,vegas,2026,24,,,8.8692512577724,
h1_win,elo,2017,267,0.6265560165975104,0.6499124750659965,,
h1_win,elo,2018,267,0.6311475409836066,0.6428663176203334,,
h1_win,elo,2019,267,0.6169354838709677,0.6781056694496206,,
h1_win,elo,2020,269,0.5866141732283464,0.6595359279688846,,
h1_win,elo,2021,285,0.5886792452830188,0.6680624165607904,,
h1_win,elo,2022,284,0.5849802371541502,0.6847996008591892,,
h1_win,elo,2023,285,0.6188679245283019,0.6544700498296765,,
h1_win,elo,2024,285,0.6472727272727272,0.6530334092111733,,
h1_win,elo,2025,285,0.6053639846743295,0.662558103035704,,
h1_win,elo,2026,24,0.5217391304347826,0.6853235968099342,,
h1_win,home_team,2017,267,0.5809128630705395,0.6808478104630288,,
h1_win,home_team,2018,267,0.6147540983606558,0.6683228014452729,,
h1_win,home_team,2019,267,0.5241935483870968,0.700004799134693,,
h1_win,home_team,2020,269,0.5118110236220472,0.7008489598814613,,
h1_win,home_team,2021,285,0.5132075471698113,0.6980951519451052,,
h1_win,home_team,2022,284,0.541501976284585,0.6906521347769725,,
h1_win,home_team,2023,285,0.5283018867924528,0.6932047993995707,,
h1_win,home_team,2024,285,0.5527272727272727,0.6878691095850593,,
h1_win,home_team,2025,285,0.5632183908045977,0.6855390687775652,,
h1_win,home_team,2026,24,0.4782608695652174,0.7037807651491044,,
h1_win,lightgbm,2017,267,0.5643153526970954,0.6868265928109689,,
h1_win,lightgbm,2018,267,0.5860655737704918,0.6644411752370228,,
h1_win,lightgbm,2019,267,0.6048387096774194,0.6919675506315043,,
h1_win,lightgbm,2020,269,0.6377952755905512,0.6435688665994607,,
h1_win,lightgbm,2021,285,0.5735849056603773,0.6944127961133107,,
h1_win,lightgbm,2022,284,0.6126482213438735,0.6940005153104755,,
h1_win,lightgbm,2023,285,0.5924528301886792,0.669824698655707,,
h1_win,lightgbm,2024,285,0.5963636363636363,0.6764240291563614,,
h1_win,lightgbm,2025,285,0.5708812260536399,0.6788148849989789,,
h1_win,lightgbm,2026,24,0.391304347826087,0.6849501318798022,,
