model,season,n_games,accuracy,log_loss,spread_mae,ats_pct
lightgbm_plus_vegas,2022,284,0.6631205673758865,0.6234261813216057,9.053882885531634,0.5328467153284672
lightgbm_plus_vegas,2023,285,0.624561403508772,0.6616992626694911,10.462501213230476,0.4833948339483395
lightgbm_plus_vegas,2024,285,0.7087719298245614,0.5944423897599557,9.967706153778934,0.47686832740213525
lightgbm_plus_vegas,2025,285,0.6549295774647887,0.6181900409271528,9.72325596240238,0.5
lightgbm_plus_vegas,2026,30,0.6,0.6847622806901156,11.97211691403155,0.5172413793103449
linear,2017,267,0.6629213483146067,0.6397947916560646,11.016978660316719,0.4864864864864865
linear,2018,267,0.6679245283018868,0.628880606326247,10.357061202394595,0.4883720930232558
linear,2019,267,0.631578947368421,0.677075870904999,10.622640914298989,0.5136186770428015
linear,2020,269,0.6529850746268657,0.6221401848561714,10.225096185836982,0.516728624535316
linear,2021,285,0.6373239436619719,0.6415820108306196,10.924634942426577,0.5338078291814946
linear,2022,284,0.6453900709219859,0.6361817528486102,9.149363662524221,0.5401459854014599
linear,2023,285,0.6175438596491228,0.668991465324312,10.45661299264589,0.5018450184501845
linear,2024,285,0.6842105263157895,0.6163198127027161,10.09551820431143,0.5124555160142349
linear,2025,285,0.6338028169014085,0.6244202826619164,10.007459938310738,0.5211267605633803
linear,2026,30,0.43333333333333335,0.7259434920886385,12.533255581635725,0.5172413793103449
linear_plus_vegas,2017,267,0.6591760299625468,0.6237907720375957,10.642300958427583,0.4980694980694981
linear_plus_vegas,2018,267,0.6792452830188679,0.6221921627854601,10.087563789249646,0.5387596899224806
linear_plus_vegas,2019,267,0.6541353383458647,0.6571703438095456,10.254971312437096,0.5058365758754864
linear_plus_vegas,2020,269,0.6902985074626866,0.5985473667396298,9.990101905078042,0.5204460966542751
linear_plus_vegas,2021,285,0.6619718309859155,0.6205332029479476,10.568358176529872,0.5516014234875445
linear_plus_vegas,2022,284,0.6843971631205674,0.6123589038134568,8.881502788693192,0.5109489051094891
linear_plus_vegas,2023,285,0.6771929824561403,0.6435128463775676,10.130919957860518,0.5350553505535055
linear_plus_vegas,2024,285,0.6947368421052632,0.5914649962659043,9.76825201816833,0.49466192170818507
linear_plus_vegas,2025,285,0.6654929577464789,0.6100313650864347,9.694461107748902,0.5387323943661971
linear_plus_vegas,2026,30,0.5666666666666667,0.6896335605485668,11.860091305765225,0.5862068965517241
vegas,2017,267,0.6928838951310862,0.5935851457247915,10.08052434456929,0.4864864864864865
vegas,2018,267,0.6566037735849056,0.613918140805531,9.874531835205993,0.5271317829457365
vegas,2019,267,0.6428571428571429,0.6165443127223158,10.176029962546817,0.5603112840466926
vegas,2020,269,0.6716417910447762,0.5896786298874639,9.78996282527881,0.5055762081784386
vegas,2021,285,0.6232394366197183,0.625011685015173,10.666666666666666,0.5160142348754448
vegas,2022,284,0.6631205673758865,0.6051160096037231,8.783450704225352,0.5072992700729927
vegas,2023,285,0.6736842105263158,0.6235536632373683,9.98421052631579,0.5018450184501845
vegas,2024,285,0.7052631578947368,0.588965174420032,9.703508771929824,0.4804270462633452
vegas,2025,285,0.6584507042253521,0.6076846489723353,9.670175438596491,0.49295774647887325
vegas,2026,30,0.7,0.6500786870355377,11.716666666666667,0.5172413793103449
